item_name,ing_id,ing_name,ing_weight,ing_price,order_quantity,recipe_quantity,ordered_weight,unit_cost,ingredient_cost
Pizza Margherita Reg,ING001,Pizza dough ball (8 pack),2000,4.22,18,250,4500,0.00211,9.495
Pizza Margherita Reg,ING002,Tomato sauce,4500,3.89,18,80,1440,0.000864444444444444,1.2448
Pizza Margherita Reg,ING003,Mozzarella cheese,2500,14.45,18,170,3060,0.00578,17.6868
Pizza Margherita Reg,ING004,Dried oregano,500,5.99,18,5,90,0.01198,1.0782
Pizza Margherita Large,ING001,Pizza dough ball (8 pack),2000,4.22,7,300,2100,0.00211,4.431
Pizza Margherita Large,ING002,Tomato sauce,4500,3.89,7,100,700,0.000864444444444444,0.605111111111111
Pizza Margherita Large,ING003,Mozzarella cheese,2500,14.45,7,200,1400,0.00578,8.092
Pizza Margherita Large,ING004,Dried oregano,500,5.99,7,8,56,0.01198,0.67088
Pizza Diavola (hot) Reg,ING001,Pizza dough ball (8 pack),2000,4.22,30,250,7500,0.00211,15.825
Pizza Diavola (hot) Reg,ING002,Tomato sauce,4500,3.89,30,80,2400,0.000864444444444444,2.07466666666667
Pizza Diavola (hot) Reg,ING003,Mozzarella cheese,2500,14.45,30,170,5100,0.00578,29.478
Pizza Diavola (hot) Reg,ING005,Spicy salami,3500,37.64,30,50,1500,0.0107542857142857,16.1314285714286
Pizza Diavola (hot) Reg,ING006,Chilli pepper,1000,6.49,30,10,300,0.00649,1.947
Pizza Diavola (hot) Large,ING001,Pizza dough ball (8 pack),2000,4.22,27,300,8100,0.00211,17.091
Pizza Diavola (hot) Large,ING002,Tomato sauce,4500,3.89,27,100,2700,0.000864444444444444,2.334
Pizza Diavola (hot) Large,ING003,Mozzarella cheese,2500,14.45,27,200,5400,0.00578,31.212
Pizza Diavola (hot) Large,ING005,Spicy salami,3500,37.64,27,70,1890,0.0107542857142857,20.3256
Pizza Diavola (hot) Large,ING006,Chilli pepper,1000,6.49,27,15,405,0.00649,2.62845
Pizza Parmigiana Reg,ING001,Pizza dough ball (8 pack),2000,4.22,9,250,2250,0.00211,4.7475
Pizza Parmigiana Reg,ING002,Tomato sauce,4500,3.89,9,80,720,0.000864444444444444,0.6224
Pizza Parmigiana Reg,ING003,Mozzarella cheese,2500,14.45,9,170,1530,0.00578,8.8434
Pizza Parmigiana Reg,ING007,Eggplant,1000,1.9,9,120,1080,0.0019,2.052
Pizza Parmigiana Reg,ING008,Parmesan cheese,2500,18.75,9,170,1530,0.0075,11.475
Pizza Parmigiana Large,ING001,Pizza dough ball (8 pack),2000,4.22,10,300,3000,0.00211,6.33
